entity_a,entity_b,weight,level
2023,2030,5.0,document
2023,the European Bank for Reconstruction and Development,1.0,document
2023,"approximately 110,000",1.0,document
29%,January 2024,1.0,document
29%,"2,400 megawatts",1.0,document
29%,Mafraq,1.0,document
29%,Jordan,1.0,document
29%,2030,1.0,document
29%,the European Bank for Reconstruction and Development,1.0,document
29%,"approximately 110,000",1.0,document
January 2024,"2,400 megawatts",1.0,document
January 2024,Mafraq,1.0,document
January 2024,Jordan,1.0,document
January 2024,2030,1.0,document
January 2024,the European Bank for Reconstruction and Development,1.0,document
January 2024,"approximately 110,000",1.0,document
"2,400 megawatts",Mafraq,1.0,document
"2,400 megawatts",Jordan,1.0,document
"2,400 megawatts",2030,1.0,document
"2,400 megawatts",the European Bank for Reconstruction and Development,1.0,document
"2,400 megawatts","approximately 110,000",1.0,document
Mafraq,Jordan,1.0,document
Mafraq,2030,1.0,document
Mafraq,the European Bank for Reconstruction and Development,1.0,document
Mafraq,"approximately 110,000",1.0,document
Jordan,2030,1.0,document
Jordan,the European Bank for Reconstruction and Development,1.0,document
Jordan,"approximately 110,000",1.0,document
2030,the European Bank for Reconstruction and Development,1.0,document
2030,"approximately 110,000",1.0,document
the European Bank for Reconstruction and Development,"approximately 110,000",1.0,document
200-megawatt,The Kingdom of Jordan,2.0,sentence
200-megawatt,January 2024,2.0,sentence
200-megawatt,"2,400 megawatts",2.0,sentence
200-megawatt,Mafraq,2.0,sentence
The Kingdom of Jordan,January 2024,2.0,sentence
The Kingdom of Jordan,"2,400 megawatts",2.0,sentence
The Kingdom of Jordan,Mafraq,2.0,sentence
January 2024,"2,400 megawatts",2.0,sentence
January 2024,Mafraq,2.0,sentence
"2,400 megawatts",Mafraq,2.0,sentence
50%,2023,2.0,sentence
50%,29%,2.0,sentence
50%,2030,8.0,sentence
50%,Jordan,2.0,sentence
2023,29%,2.0,sentence
2023,2030,6.0,sentence
2023,Jordan,4.0,sentence
29%,2030,2.0,sentence
29%,Jordan,2.0,sentence
"approximately 110,000",the European Bank for Reconstruction and Development,2.0,sentence
"approximately 110,000",Mafraq,2.0,sentence
the European Bank for Reconstruction and Development,Mafraq,2.0,sentence
Singapore,2025,1.0,document
Singapore,100 years,1.0,document
Singapore,up to 4 meters,1.0,document
Singapore,The Tuas Nexus,1.0,document
Singapore,$72 billion,1.0,document
2025,100 years,1.0,document
2025,up to 4 meters,1.0,document
2025,The Tuas Nexus,1.0,document
2025,$72 billion,1.0,document
100 years,up to 4 meters,1.0,document
100 years,The Tuas Nexus,1.0,document
100 years,$72 billion,1.0,document
up to 4 meters,The Tuas Nexus,1.0,document
up to 4 meters,$72 billion,1.0,document
The Tuas Nexus,$72 billion,1.0,document
100 years,$72 billion,2.0,sentence
100 years,Singapore,2.0,sentence
$72 billion,Singapore,2.0,sentence
2025,The Tuas Nexus,2.0,sentence
annual,10 to 18,1.0,document
annual,$387 billion,1.0,document
annual,Only $21 billion,1.0,document
annual,Adaptation Gap Report,1.0,document
annual,2021,2.0,document
annual,UNEP,1.0,document
annual,215,1.0,document
2023,10 to 18,1.0,document
2023,$387 billion,1.0,document
2023,Only $21 billion,1.0,document
2023,Adaptation Gap Report,1.0,document
2023,2021,1.0,document
2023,UNEP,3.0,document
2023,215,1.0,document
10 to 18,$387 billion,1.0,document
10 to 18,Only $21 billion,1.0,document
10 to 18,Adaptation Gap Report,1.0,document
10 to 18,2021,1.0,document
10 to 18,UNEP,1.0,document
10 to 18,215,1.0,document
$387 billion,Only $21 billion,1.0,document
$387 billion,Adaptation Gap Report,1.0,document
$387 billion,2021,1.0,document
$387 billion,UNEP,1.0,document
$387 billion,215,1.0,document
Only $21 billion,Adaptation Gap Report,1.0,document
Only $21 billion,2021,1.0,document
Only $21 billion,UNEP,1.0,document
Only $21 billion,215,1.0,document
Adaptation Gap Report,2021,1.0,document
Adaptation Gap Report,UNEP,1.0,document
Adaptation Gap Report,215,1.0,document
2021,UNEP,1.0,document
2021,215,1.0,document
UNEP,215,1.0,document
2023,UNEP,4.0,sentence
2023,10 to 18,2.0,sentence
2023,Adaptation Gap Report,2.0,sentence
UNEP,10 to 18,2.0,sentence
UNEP,Adaptation Gap Report,2.0,sentence
10 to 18,Adaptation Gap Report,2.0,sentence
$387 billion,annual,2.0,sentence
$387 billion,215,2.0,sentence
annual,215,2.0,sentence
Only $21 billion,2021,2.0,sentence
Europe,"the Rhine, Meuse",1.0,document
Europe,2.3 billion,1.0,document
Europe,Netherlands,1.0,document
Europe,River,1.0,document
Europe,34,1.0,document
Europe,2019,1.0,document
"the Rhine, Meuse",2.3 billion,1.0,document
"the Rhine, Meuse",Netherlands,1.0,document
"the Rhine, Meuse",River,1.0,document
"the Rhine, Meuse",34,1.0,document
"the Rhine, Meuse",2019,1.0,document
2.3 billion,Netherlands,1.0,document
2.3 billion,River,1.0,document
2.3 billion,34,1.0,document
2.3 billion,2019,1.0,document
Netherlands,River,1.0,document
Netherlands,34,1.0,document
Netherlands,2019,1.0,document
River,34,1.0,document
River,2019,1.0,document
34,2019,1.0,document
"the Rhine, Meuse",2.3 billion,2.0,sentence
"the Rhine, Meuse",Netherlands,2.0,sentence
"the Rhine, Meuse",River,2.0,sentence
"the Rhine, Meuse",34,2.0,sentence
"the Rhine, Meuse",2019,2.0,sentence
2.3 billion,Netherlands,2.0,sentence
2.3 billion,River,2.0,sentence
2.3 billion,34,2.0,sentence
2.3 billion,2019,2.0,sentence
Netherlands,River,2.0,sentence
Netherlands,34,2.0,sentence
Netherlands,2019,2.0,sentence
River,34,2.0,sentence
River,2019,2.0,sentence
34,2019,2.0,sentence
"5,000",the World Bank,1.0,document
"5,000",FAO,1.0,document
"5,000",Great Green Wall,1.0,document
"5,000",400-kilometer,1.0,document
"5,000","12,000",2.0,document
"5,000",Kenya,1.0,document
"5,000",over 15 million,1.0,document
"5,000",2020,2.0,document
the World Bank,FAO,1.0,document
the World Bank,Great Green Wall,1.0,document
the World Bank,400-kilometer,1.0,document
the World Bank,"12,000",1.0,document
the World Bank,Kenya,1.0,document
the World Bank,over 15 million,1.0,document
the World Bank,2020,1.0,document
FAO,Great Green Wall,1.0,document
FAO,400-kilometer,1.0,document
FAO,"12,000",1.0,document
FAO,Kenya,1.0,document
FAO,over 15 million,1.0,document
FAO,2020,1.0,document
Great Green Wall,400-kilometer,1.0,document
Great Green Wall,"12,000",1.0,document
Great Green Wall,Kenya,1.0,document
Great Green Wall,over 15 million,1.0,document
Great Green Wall,2020,1.0,document
400-kilometer,"12,000",1.0,document
400-kilometer,Kenya,1.0,document
400-kilometer,over 15 million,1.0,document
400-kilometer,2020,1.0,document
"12,000",Kenya,1.0,document
"12,000",over 15 million,1.0,document
"12,000",2020,2.0,document
Kenya,over 15 million,1.0,document
Kenya,2020,1.0,document
over 15 million,2020,1.0,document
Great Green Wall,400-kilometer,2.0,sentence
Great Green Wall,Kenya,2.0,sentence
Great Green Wall,over 15 million,2.0,sentence
Great Green Wall,2020,2.0,sentence
400-kilometer,Kenya,2.0,sentence
400-kilometer,over 15 million,2.0,sentence
400-kilometer,2020,2.0,sentence
Kenya,over 15 million,2.0,sentence
Kenya,2020,2.0,sentence
over 15 million,2020,2.0,sentence
"5,000","12,000",4.0,sentence
the World Bank,FAO,2.0,sentence
"6,000",20 degrees,1.0,document
"6,000",2024,1.0,document
"6,000",Masdar City,1.0,document
"6,000",600,1.0,document
"6,000",10-megawatt,1.0,document
"6,000",the International Renewable Energy Agency,1.0,document
"6,000",15 to,1.0,document
"6,000",Abu Dhabi's,1.0,document
20 degrees,2024,1.0,document
20 degrees,Masdar City,1.0,document
20 degrees,600,1.0,document
20 degrees,10-megawatt,1.0,document
20 degrees,the International Renewable Energy Agency,1.0,document
20 degrees,15 to,1.0,document
20 degrees,Abu Dhabi's,1.0,document
2024,Masdar City,1.0,document
2024,600,1.0,document
2024,10-megawatt,1.0,document
2024,the International Renewable Energy Agency,1.0,document
2024,15 to,1.0,document
2024,Abu Dhabi's,1.0,document
Masdar City,600,1.0,document
Masdar City,10-megawatt,1.0,document
Masdar City,the International Renewable Energy Agency,1.0,document
Masdar City,15 to,1.0,document
Masdar City,Abu Dhabi's,1.0,document
600,10-megawatt,1.0,document
600,the International Renewable Energy Agency,1.0,document
600,15 to,1.0,document
600,Abu Dhabi's,1.0,document
10-megawatt,the International Renewable Energy Agency,1.0,document
10-megawatt,15 to,1.0,document
10-megawatt,Abu Dhabi's,1.0,document
the International Renewable Energy Agency,15 to,1.0,document
the International Renewable Energy Agency,Abu Dhabi's,1.0,document
15 to,Abu Dhabi's,1.0,document
20 degrees,Masdar City,2.0,sentence
20 degrees,15 to,2.0,sentence
20 degrees,Abu Dhabi's,2.0,sentence
Masdar City,15 to,2.0,sentence
Masdar City,Abu Dhabi's,2.0,sentence
15 to,Abu Dhabi's,2.0,sentence
"6,000",2024,2.0,sentence
"6,000",Masdar City,2.0,sentence
"6,000",600,2.0,sentence
"6,000",the International Renewable Energy Agency,2.0,sentence
2024,Masdar City,2.0,sentence
2024,600,2.0,sentence
2024,the International Renewable Energy Agency,2.0,sentence
Masdar City,600,2.0,sentence
Masdar City,the International Renewable Energy Agency,2.0,sentence
600,the International Renewable Energy Agency,2.0,sentence
40%,"300,000",2.0,document
40%,2030,3.0,document
40%,Amman,1.0,document
40%,daily,1.0,document
40%,2021,2.0,document
40%,Climate Action Plan,1.0,document
40%,"25,000",1.0,document
"300,000",2030,2.0,document
"300,000",Amman,1.0,document
"300,000",daily,1.0,document
"300,000",2021,2.0,document
"300,000",Climate Action Plan,1.0,document
"300,000","25,000",1.0,document
2030,Amman,1.0,document
2030,daily,1.0,document
2030,2021,3.0,document
2030,Climate Action Plan,1.0,document
2030,"25,000",1.0,document
Amman,daily,1.0,document
Amman,2021,1.0,document
Amman,Climate Action Plan,1.0,document
Amman,"25,000",1.0,document
daily,2021,1.0,document
daily,Climate Action Plan,1.0,document
daily,"25,000",1.0,document
2021,Climate Action Plan,1.0,document
2021,"25,000",1.0,document
Climate Action Plan,"25,000",1.0,document
40%,2030,4.0,sentence
40%,Amman,2.0,sentence
40%,2021,2.0,sentence
40%,Climate Action Plan,2.0,sentence
2030,Amman,2.0,sentence
2030,2021,2.0,sentence
2030,Climate Action Plan,2.0,sentence
Amman,2021,2.0,sentence
Amman,Climate Action Plan,2.0,sentence
2021,Climate Action Plan,2.0,sentence
daily,"300,000",2.0,sentence
daily,"25,000",2.0,sentence
"300,000","25,000",2.0,sentence
2025,80%,1.0,document
2025,annually,1.0,document
2025,Israel,1.0,document
2025,0.40,1.0,document
2025,200 million cubic meters,1.0,document
80%,annually,1.0,document
80%,Israel,1.0,document
80%,0.40,1.0,document
80%,200 million cubic meters,1.0,document
annually,Israel,1.0,document
annually,0.40,1.0,document
annually,200 million cubic meters,1.0,document
Israel,0.40,1.0,document
Israel,200 million cubic meters,1.0,document
0.40,200 million cubic meters,1.0,document
2025,annually,2.0,sentence
2025,Israel,2.0,sentence
2025,0.40,2.0,sentence
2025,200 million cubic meters,2.0,sentence
annually,Israel,2.0,sentence
annually,0.40,2.0,sentence
annually,200 million cubic meters,2.0,sentence
Israel,0.40,2.0,sentence
Israel,200 million cubic meters,2.0,sentence
0.40,200 million cubic meters,2.0,sentence
Israel,80%,2.0,sentence
Costa Rica's,2025,1.0,document
Costa Rica's,2023,1.0,document
Costa Rica's,2050,1.0,document
Costa Rica's,nine consecutive years,1.0,document
Costa Rica's,"60,000",1.0,document
Costa Rica's,National Decarbonization Plan,1.0,document
Costa Rica's,Costa Rica,1.0,document
Costa Rica's,99.5%,1.0,document
Costa Rica's,98%,1.0,document
2025,2023,1.0,document
2025,2050,1.0,document
2025,nine consecutive years,1.0,document
2025,"60,000",1.0,document
2025,National Decarbonization Plan,1.0,document
2025,Costa Rica,1.0,document
2025,99.5%,1.0,document
2025,98%,1.0,document
2023,2050,1.0,document
2023,nine consecutive years,1.0,document
2023,"60,000",1.0,document
2023,National Decarbonization Plan,1.0,document
2023,Costa Rica,1.0,document
2023,99.5%,1.0,document
2023,98%,1.0,document
2050,nine consecutive years,1.0,document
2050,"60,000",1.0,document
2050,National Decarbonization Plan,1.0,document
2050,Costa Rica,1.0,document
2050,99.5%,2.0,document
2050,98%,1.0,document
nine consecutive years,"60,000",1.0,document
nine consecutive years,National Decarbonization Plan,1.0,document
nine consecutive years,Costa Rica,1.0,document
nine consecutive years,99.5%,1.0,document
nine consecutive years,98%,1.0,document
"60,000",National Decarbonization Plan,1.0,document
"60,000",Costa Rica,1.0,document
"60,000",99.5%,1.0,document
"60,000",98%,1.0,document
National Decarbonization Plan,Costa Rica,1.0,document
National Decarbonization Plan,99.5%,1.0,document
National Decarbonization Plan,98%,1.0,document
Costa Rica,99.5%,1.0,document
Costa Rica,98%,1.0,document
99.5%,98%,1.0,document
Costa Rica,2023,2.0,sentence
Costa Rica,99.5%,2.0,sentence
2023,99.5%,2.0,sentence
nine consecutive years,98%,2.0,sentence
Costa Rica's,2025,2.0,sentence
Costa Rica's,2050,2.0,sentence
Costa Rica's,"60,000",2.0,sentence
Costa Rica's,National Decarbonization Plan,2.0,sentence
2025,2050,2.0,sentence
2025,"60,000",2.0,sentence
2025,National Decarbonization Plan,2.0,sentence
2050,"60,000",2.0,sentence
2050,National Decarbonization Plan,2.0,sentence
"60,000",National Decarbonization Plan,2.0,sentence
rural health clinics,2024,1.0,document
rural health clinics,Sahel,1.0,document
rural health clinics,"15,000",1.0,document
rural health clinics,2030,1.0,document
rural health clinics,11,1.0,document
rural health clinics,The African Development Bank's,1.0,document
rural health clinics,250 million,1.0,document
rural health clinics,10,1.0,document
rural health clinics,3.2,1.0,document
2024,Sahel,1.0,document
2024,"15,000",1.0,document
2024,2030,2.0,document
2024,11,1.0,document
2024,The African Development Bank's,1.0,document
2024,250 million,1.0,document
2024,10,1.0,document
2024,3.2,1.0,document
Sahel,"15,000",1.0,document
Sahel,2030,1.0,document
Sahel,11,1.0,document
Sahel,The African Development Bank's,1.0,document
Sahel,250 million,1.0,document
Sahel,10,1.0,document
Sahel,3.2,1.0,document
"15,000",2030,1.0,document
"15,000",11,1.0,document
"15,000",The African Development Bank's,1.0,document
"15,000",250 million,1.0,document
"15,000",10,1.0,document
"15,000",3.2,1.0,document
2030,11,1.0,document
2030,The African Development Bank's,1.0,document
2030,250 million,1.0,document
2030,10,2.0,document
2030,3.2,1.0,document
11,The African Development Bank's,1.0,document
11,250 million,1.0,document
11,10,1.0,document
11,3.2,1.0,document
The African Development Bank's,250 million,1.0,document
The African Development Bank's,10,1.0,document
The African Development Bank's,3.2,1.0,document
250 million,10,1.0,document
250 million,3.2,1.0,document
10,3.2,1.0,document
Sahel,2030,2.0,sentence
Sahel,11,2.0,sentence
Sahel,The African Development Bank's,2.0,sentence
Sahel,250 million,2.0,sentence
Sahel,10,2.0,sentence
2030,11,2.0,sentence
2030,The African Development Bank's,2.0,sentence
2030,250 million,2.0,sentence
2030,10,2.0,sentence
11,The African Development Bank's,2.0,sentence
11,250 million,2.0,sentence
11,10,2.0,sentence
The African Development Bank's,250 million,2.0,sentence
The African Development Bank's,10,2.0,sentence
250 million,10,2.0,sentence
2024,3.2,2.0,sentence
rural health clinics,"15,000",2.0,sentence
45%,50%,1.0,document
45%,India,1.0,document
45%,2005,1.0,document
45%,Glasgow,1.0,document
45%,Narendra Modi,1.0,document
45%,2030,3.0,document
45%,November 2021,1.0,document
45%,2070,1.0,document
45%,Nationally Determined Contribution,1.0,document
50%,India,1.0,document
50%,2005,1.0,document
50%,Glasgow,1.0,document
50%,Narendra Modi,1.0,document
50%,November 2021,1.0,document
50%,2070,1.0,document
50%,Nationally Determined Contribution,1.0,document
India,2005,1.0,document
India,Glasgow,1.0,document
India,Narendra Modi,1.0,document
India,2030,2.0,document
India,November 2021,1.0,document
India,2070,1.0,document
India,Nationally Determined Contribution,1.0,document
2005,Glasgow,1.0,document
2005,Narendra Modi,1.0,document
2005,2030,1.0,document
2005,November 2021,1.0,document
2005,2070,1.0,document
2005,Nationally Determined Contribution,1.0,document
Glasgow,Narendra Modi,1.0,document
Glasgow,2030,2.0,document
Glasgow,November 2021,1.0,document
Glasgow,2070,1.0,document
Glasgow,Nationally Determined Contribution,1.0,document
Narendra Modi,2030,1.0,document
Narendra Modi,November 2021,1.0,document
Narendra Modi,2070,1.0,document
Narendra Modi,Nationally Determined Contribution,1.0,document
2030,November 2021,1.0,document
2030,2070,1.0,document
2030,Nationally Determined Contribution,1.0,document
November 2021,2070,1.0,document
November 2021,Nationally Determined Contribution,1.0,document
2070,Nationally Determined Contribution,1.0,document
45%,50%,2.0,sentence
45%,India,2.0,sentence
45%,2005,2.0,sentence
45%,2030,4.0,sentence
45%,Nationally Determined Contribution,2.0,sentence
50%,India,2.0,sentence
50%,2005,2.0,sentence
50%,Nationally Determined Contribution,2.0,sentence
India,2005,2.0,sentence
India,2030,4.0,sentence
India,Nationally Determined Contribution,2.0,sentence
2005,2030,2.0,sentence
2005,Nationally Determined Contribution,2.0,sentence
2030,Nationally Determined Contribution,2.0,sentence
Glasgow,2070,2.0,sentence
Glasgow,Narendra Modi,2.0,sentence
Glasgow,November 2021,2.0,sentence
2070,Narendra Modi,2.0,sentence
2070,November 2021,2.0,sentence
Narendra Modi,November 2021,2.0,sentence
48%,Ministry of Environment and Climate Change,1.0,document
48%,Norway,1.0,document
48%,IBAMA,1.0,document
48%,Brazil,1.0,document
48%,$500 million,1.0,document
48%,Germany,1.0,document
48%,2022,1.0,document
48%,Amazon,1.0,document
48%,the Amazon Fund,1.0,document
48%,Lula da Silva,1.0,document
48%,August 2023,1.0,document
48%,the first seven months,1.0,document
Ministry of Environment and Climate Change,Norway,1.0,document
Ministry of Environment and Climate Change,IBAMA,1.0,document
Ministry of Environment and Climate Change,Brazil,1.0,document
Ministry of Environment and Climate Change,$500 million,1.0,document
Ministry of Environment and Climate Change,Germany,1.0,document
Ministry of Environment and Climate Change,2022,1.0,document
Ministry of Environment and Climate Change,Amazon,1.0,document
Ministry of Environment and Climate Change,the Amazon Fund,1.0,document
Ministry of Environment and Climate Change,Lula da Silva,1.0,document
Ministry of Environment and Climate Change,August 2023,1.0,document
Ministry of Environment and Climate Change,the first seven months,1.0,document
Norway,IBAMA,1.0,document
Norway,Brazil,1.0,document
Norway,$500 million,1.0,document
Norway,Germany,1.0,document
Norway,2022,1.0,document
Norway,Amazon,1.0,document
Norway,the Amazon Fund,1.0,document
Norway,Lula da Silva,1.0,document
Norway,August 2023,1.0,document
Norway,the first seven months,1.0,document
IBAMA,Brazil,1.0,document
IBAMA,$500 million,1.0,document
IBAMA,Germany,1.0,document
IBAMA,2022,1.0,document
IBAMA,Amazon,1.0,document
IBAMA,the Amazon Fund,1.0,document
IBAMA,Lula da Silva,1.0,document
IBAMA,August 2023,1.0,document
IBAMA,the first seven months,1.0,document
Brazil,$500 million,1.0,document
Brazil,Germany,1.0,document
Brazil,2022,1.0,document
Brazil,Amazon,1.0,document
Brazil,the Amazon Fund,1.0,document
Brazil,Lula da Silva,1.0,document
Brazil,August 2023,1.0,document
Brazil,the first seven months,1.0,document
$500 million,Germany,1.0,document
$500 million,2022,1.0,document
$500 million,Amazon,1.0,document
$500 million,the Amazon Fund,1.0,document
$500 million,Lula da Silva,1.0,document
$500 million,August 2023,1.0,document
$500 million,the first seven months,1.0,document
Germany,2022,1.0,document
Germany,Amazon,1.0,document
Germany,the Amazon Fund,1.0,document
Germany,Lula da Silva,1.0,document
Germany,August 2023,1.0,document
Germany,the first seven months,1.0,document
2022,Amazon,1.0,document
2022,the Amazon Fund,1.0,document
2022,Lula da Silva,1.0,document
2022,August 2023,1.0,document
2022,the first seven months,1.0,document
Amazon,the Amazon Fund,1.0,document
Amazon,Lula da Silva,1.0,document
Amazon,August 2023,1.0,document
Amazon,the first seven months,1.0,document
the Amazon Fund,Lula da Silva,1.0,document
the Amazon Fund,August 2023,1.0,document
the Amazon Fund,the first seven months,1.0,document
Lula da Silva,August 2023,1.0,document
Lula da Silva,the first seven months,1.0,document
August 2023,the first seven months,1.0,document
48%,Ministry of Environment and Climate Change,2.0,sentence
48%,Brazil,2.0,sentence
48%,2022,2.0,sentence
48%,Amazon,2.0,sentence
48%,Lula da Silva,2.0,sentence
48%,August 2023,2.0,sentence
48%,the first seven months,2.0,sentence
Ministry of Environment and Climate Change,Brazil,2.0,sentence
Ministry of Environment and Climate Change,2022,2.0,sentence
Ministry of Environment and Climate Change,Amazon,2.0,sentence
Ministry of Environment and Climate Change,Lula da Silva,2.0,sentence
Ministry of Environment and Climate Change,August 2023,2.0,sentence
Ministry of Environment and Climate Change,the first seven months,2.0,sentence
Brazil,2022,2.0,sentence
Brazil,Amazon,2.0,sentence
Brazil,Lula da Silva,2.0,sentence
Brazil,August 2023,2.0,sentence
Brazil,the first seven months,2.0,sentence
2022,Amazon,2.0,sentence
2022,Lula da Silva,2.0,sentence
2022,August 2023,2.0,sentence
2022,the first seven months,2.0,sentence
Amazon,Lula da Silva,2.0,sentence
Amazon,August 2023,2.0,sentence
Amazon,the first seven months,2.0,sentence
Lula da Silva,August 2023,2.0,sentence
Lula da Silva,the first seven months,2.0,sentence
August 2023,the first seven months,2.0,sentence
IBAMA,$500 million,2.0,sentence
IBAMA,Germany,2.0,sentence
IBAMA,the Amazon Fund,2.0,sentence
IBAMA,Norway,2.0,sentence
$500 million,Germany,2.0,sentence
$500 million,the Amazon Fund,2.0,sentence
$500 million,Norway,2.0,sentence
Germany,the Amazon Fund,2.0,sentence
Germany,Norway,2.0,sentence
the Amazon Fund,Norway,2.0,sentence
annual,Net Zero,1.0,document
annual,$4 trillion,1.0,document
annual,$1.3 trillion,2.0,document
annual,2050,1.0,document
annual,The International Energy Agency's,1.0,document
annual,2030,2.0,document
annual,IEA,1.0,document
annual,Fatih Birol,1.0,document
Net Zero,$4 trillion,1.0,document
Net Zero,$1.3 trillion,1.0,document
Net Zero,2050,1.0,document
Net Zero,The International Energy Agency's,1.0,document
Net Zero,2022,1.0,document
Net Zero,2030,1.0,document
Net Zero,IEA,1.0,document
Net Zero,2021,1.0,document
Net Zero,Fatih Birol,1.0,document
$4 trillion,$1.3 trillion,1.0,document
$4 trillion,2050,1.0,document
$4 trillion,The International Energy Agency's,1.0,document
$4 trillion,2022,1.0,document
$4 trillion,2030,1.0,document
$4 trillion,IEA,1.0,document
$4 trillion,2021,1.0,document
$4 trillion,Fatih Birol,1.0,document
$1.3 trillion,2050,1.0,document
$1.3 trillion,The International Energy Agency's,1.0,document
$1.3 trillion,2022,2.0,document
$1.3 trillion,2030,2.0,document
$1.3 trillion,IEA,1.0,document
$1.3 trillion,2021,2.0,document
$1.3 trillion,Fatih Birol,1.0,document
2050,The International Energy Agency's,1.0,document
2050,2022,1.0,document
2050,2030,3.0,document
2050,IEA,1.0,document
2050,2021,1.0,document
2050,Fatih Birol,1.0,document
The International Energy Agency's,2022,1.0,document
The International Energy Agency's,2030,1.0,document
The International Energy Agency's,IEA,1.0,document
The International Energy Agency's,2021,1.0,document
The International Energy Agency's,Fatih Birol,1.0,document
2022,IEA,1.0,document
2022,2021,2.0,document
2022,Fatih Birol,1.0,document
2030,IEA,1.0,document
2030,Fatih Birol,1.0,document
IEA,2021,1.0,document
IEA,Fatih Birol,1.0,document
2021,Fatih Birol,1.0,document
2050,Net Zero,2.0,sentence
2050,The International Energy Agency's,2.0,sentence
2050,2021,2.0,sentence
Net Zero,The International Energy Agency's,2.0,sentence
Net Zero,2021,2.0,sentence
The International Energy Agency's,2021,2.0,sentence
annual,$1.3 trillion,4.0,sentence
annual,2022,2.0,sentence
annual,2030,4.0,sentence
annual,$4 trillion,2.0,sentence
$1.3 trillion,2022,4.0,sentence
$1.3 trillion,2030,4.0,sentence
$1.3 trillion,$4 trillion,2.0,sentence
2022,$4 trillion,2.0,sentence
2030,$4 trillion,2.0,sentence
Fatih Birol,IEA,2.0,sentence
Green Initiative,50%,1.0,document
Green Initiative,$500 billion,1.0,document
Green Initiative,"2,600-megawatt",1.0,document
Green Initiative,Sudair,1.0,document
Green Initiative,annually,1.0,document
Green Initiative,Saudi Arabia's,1.0,document
Green Initiative,Saudi,1.0,document
Green Initiative,2030,1.0,document
Green Initiative,Middle East Green Initiative,1.0,document
Green Initiative,Vision 2030,1.0,document
Green Initiative,50 billion,1.0,document
Green Initiative,278 million tonnes,1.0,document
50%,$500 billion,1.0,document
50%,"2,600-megawatt",1.0,document
50%,Sudair,1.0,document
50%,annually,1.0,document
50%,Saudi Arabia's,1.0,document
50%,Saudi,1.0,document
50%,Middle East Green Initiative,1.0,document
50%,Vision 2030,1.0,document
50%,50 billion,1.0,document
50%,278 million tonnes,1.0,document
$500 billion,"2,600-megawatt",1.0,document
$500 billion,Sudair,1.0,document
$500 billion,annually,1.0,document
$500 billion,Saudi Arabia's,1.0,document
$500 billion,Saudi,1.0,document
$500 billion,2030,1.0,document
$500 billion,Middle East Green Initiative,1.0,document
$500 billion,Vision 2030,1.0,document
$500 billion,50 billion,1.0,document
$500 billion,278 million tonnes,1.0,document
"2,600-megawatt",Sudair,1.0,document
"2,600-megawatt",annually,1.0,document
"2,600-megawatt",Saudi Arabia's,1.0,document
"2,600-megawatt",Saudi,1.0,document
"2,600-megawatt",2030,1.0,document
"2,600-megawatt",Middle East Green Initiative,1.0,document
"2,600-megawatt",Vision 2030,1.0,document
"2,600-megawatt",50 billion,1.0,document
"2,600-megawatt",278 million tonnes,1.0,document
Sudair,annually,1.0,document
Sudair,Saudi Arabia's,1.0,document
Sudair,Saudi,1.0,document
Sudair,2030,1.0,document
Sudair,Middle East Green Initiative,1.0,document
Sudair,Vision 2030,1.0,document
Sudair,50 billion,1.0,document
Sudair,278 million tonnes,1.0,document
annually,Saudi Arabia's,1.0,document
annually,Saudi,1.0,document
annually,2030,4.0,document
annually,Middle East Green Initiative,1.0,document
annually,Vision 2030,1.0,document
annually,50 billion,1.0,document
annually,278 million tonnes,1.0,document
Saudi Arabia's,Saudi,1.0,document
Saudi Arabia's,2030,1.0,document
Saudi Arabia's,Middle East Green Initiative,1.0,document
Saudi Arabia's,Vision 2030,1.0,document
Saudi Arabia's,50 billion,1.0,document
Saudi Arabia's,278 million tonnes,1.0,document
Saudi,2030,1.0,document
Saudi,Middle East Green Initiative,1.0,document
Saudi,Vision 2030,1.0,document
Saudi,50 billion,1.0,document
Saudi,278 million tonnes,1.0,document
2030,Middle East Green Initiative,1.0,document
2030,Vision 2030,1.0,document
2030,50 billion,1.0,document
2030,278 million tonnes,1.0,document
Middle East Green Initiative,Vision 2030,1.0,document
Middle East Green Initiative,50 billion,1.0,document
Middle East Green Initiative,278 million tonnes,1.0,document
Vision 2030,50 billion,1.0,document
Vision 2030,278 million tonnes,1.0,document
50 billion,278 million tonnes,1.0,document
50%,$500 billion,2.0,sentence
50%,"2,600-megawatt",2.0,sentence
50%,Sudair,2.0,sentence
50%,Saudi Arabia's,2.0,sentence
50%,Vision 2030,2.0,sentence
$500 billion,"2,600-megawatt",2.0,sentence
$500 billion,Sudair,2.0,sentence
$500 billion,Saudi Arabia's,2.0,sentence
$500 billion,Vision 2030,2.0,sentence
"2,600-megawatt",Sudair,2.0,sentence
"2,600-megawatt",Saudi Arabia's,2.0,sentence
"2,600-megawatt",Vision 2030,2.0,sentence
Sudair,Saudi Arabia's,2.0,sentence
Sudair,Vision 2030,2.0,sentence
Saudi Arabia's,Vision 2030,2.0,sentence
Green Initiative,annually,2.0,sentence
Green Initiative,Middle East Green Initiative,2.0,sentence
Green Initiative,Saudi,2.0,sentence
Green Initiative,2030,2.0,sentence
Green Initiative,50 billion,2.0,sentence
Green Initiative,278 million tonnes,2.0,sentence
annually,Middle East Green Initiative,2.0,sentence
